AUDIT LOG: Loan of 'El Código Limpio' issued to Vicente
AUDIT LOG: Loan of 'El Código Limpio' issued to 12345678Z
AUDIT LOG: Loan of 'El Código Limpio' issued to Vicente
AUDIT LOG: Loan of 'El Código Limpio' issued to Vicente
AUDIT LOG: Loan of 'El Código Limpio' issued to Vicente
AUDIT LOG: Loan of 'El Código Limpio' issued to 12345678Z
AUDIT LOG: Loan of 'El Código Limpio' issued to Vicente
AUDIT LOG: Loan of 'El Código Limpio' issued to Vicente
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user '12345678Z'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user '12345678Z'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user '12345678Z'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user '12345678Z'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
AUDIT LOG: Loan issued for 'El Código Limpio' to user 'Vicente'
